trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
98,False,"{'a': 0.5, 'e': 0.5035863913063714}",20,7,14.274535039098199,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.5000735956957676}",20,0,2.20002735732922,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.49658530379140947}",30,3,-132.58668323833987,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 2}",1
101,False,"{'a': 0.5, 'e': 0.49312134466629576}",25,0,-94.15182576822343,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.4896815485857362}",20,12,-49.97101225258713,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.4862657469990346}",20,9,17.0186762205296,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.48287377253122976}",25,3,-140.8339236814542,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 2}",1
105,False,"{'a': 0.5, 'e': 0.4795054589748941}",30,0,-21.35402335214056,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.4761606412819894}",35,0,-54.7392553623848,"{0: 27, 1: 2, 2: 4, 3: 2, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.47283915555577954}",20,6,-13.205324307718435,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.46954083904279925}",25,12,2.7382560248446066,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.46626553012487953}",20,15,7.2887544565758144,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.46301306831122807}",20,0,-4.818265806879253,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.4597832942305652}",25,5,22.658472189122513,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.4565760496233147}",20,3,-17.809718474468283,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.4533911773338492}",25,0,-123.26297922746815,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
114,False,"{'a': 0.5, 'e': 0.45022852130278923}",25,0,-78.9065964438141,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
115,False,"{'a': 0.5, 'e': 0.4470879265593564}",20,0,-36.52085006526399,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.44396923921378006}",25,0,-15.16501316121881,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.4408723064497561}",20,0,-7.306969654361234,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.4377969765169596}",20,0,-26.79681470064408,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.43474309872360845}",25,2,-117.91155756890386,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 3}",1
120,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,0,16.69631864567432,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.42869910203657724}",30,4,-58.11892443010418,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.4257086869858502}",35,9,-12.498592120302778,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.42273913174596284}",20,14,12.252336389927933,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.41979029080811425}",20,0,1.4387149896231026,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.4168620196785084}",30,13,-33.28505194111861,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.4139541748712741}",20,2,-4.9365093215776,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.41106661390143395}",25,16,14.19828705901885,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.4081991952779227}",30,0,-101.1201099116132,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
129,False,"{'a': 0.5, 'e': 0.405351778496654}",25,18,-12.06820742868797,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.40252422403363597}",20,12,-6.385458941727109,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.3997163933381341}",30,18,-4.698916838369312,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.39692814882588245}",25,0,-42.51225839602066,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.3941593538723422}",35,0,21.222151689231676,"{0: 32, 1: 2, 2: 1, 3: 0, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.3914098728060065}",25,12,-14.696479240119254,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.388679570901753}",20,13,12.252111689566663,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.3859683143742421}",20,10,7.5264437605680214,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.3832759703713615}",20,0,-21.63252916059013,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.38060240696771647}",25,0,-26.857228359824454,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.37794749315816506}",20,8,11.904040814389457,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.37531109885139957}",25,6,26.9359735872269,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.3726930948635714}",25,0,-18.36866578175343,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.37009335291196127}",20,7,-31.272348455758344,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
143,False,"{'a': 0.5, 'e': 0.3675117456086935}",25,14,-23.19033558739705,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
144,False,"{'a': 0.5, 'e': 0.36494814645449375}",20,7,-67.28202078858699,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 2}",1
145,False,"{'a': 0.5, 'e': 0.36240242983249027}",20,6,-23.178746173198288,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.5, 'e': 0.35987447100205955}",25,9,-15.028951494623456,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.3573641460927129}",20,0,1.1927084016475475,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.3548713320980274}",25,7,-48.68344385568419,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
149,False,"{'a': 0.5, 'e': 0.35239590686961875}",25,14,5.7579832517565475,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.3499377491111553}",20,5,26.223036140816593,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.34749673837241524}",20,9,16.59883273846259,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.34507275504338375}",25,4,1.3353364517244413,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.3426656803483929}",20,0,-81.67796638287585,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
154,False,"{'a': 0.5, 'e': 0.3402753963403008}",20,9,7.775492762550012,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.33790178589471304}",20,2,-39.32309669673758,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.3355447327042427}",25,15,-42.655857191988325,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
157,False,"{'a': 0.5, 'e': 0.33320412127281185}",25,9,17.692742173555686,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.33087983690999206}",25,7,-5.197884340813898,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.3285717657253846}",20,0,-3.753731438261144,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.32627979462303947}",20,7,-36.45768494860901,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
161,False,"{'a': 0.5, 'e': 0.32400381129591416}",20,0,-59.948708991024716,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
162,False,"{'a': 0.5, 'e': 0.32174370422037013}",20,14,9.419350642712576,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.31949936265070866}",20,6,-13.158432421087511,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
164,False,"{'a': 0.5, 'e': 0.3172706766137436}",20,0,15.567774970626058,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.3150575369034133}",20,5,-25.45792995123087,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
166,False,"{'a': 0.5, 'e': 0.3128598350754292}",20,8,-38.69797382012788,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.31067746344196184}",20,15,-2.5365137044940482,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.3085103150663647}",20,0,-22.19237921744082,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.30635828375793367}",20,0,-2.5328366471868473,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.3042212640667041}",35,27,12.668158490814085,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
